,index,origin,Setor,Freguesia,Ano/Mês,Nº de operações,Valor das operações,prob,Mês,Ano
217,2234,non-local,"Bares, Cafés e Similares",Paranhos,Jan 22,1614,31543.8,0.02062804340324374,1,22
226,2243,non-local,"Bares, Cafés e Similares",Ramalde,Jan 22,216,2896.23,0.003562592775853538,1,22
234,2251,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Jan 22,7896,216014.97,0.09886559987979866,1,22
241,2258,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jan 22,107244,1719711.15,0.19989822793587242,1,22
250,2267,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Jan 22,2742,36912.96,0.04127901725228073,1,22
262,3277,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Jan 22,1995,31488.69,0.07194633776912258,1,22
271,3286,non-local,Restaurantes,ARU/ORU do Centro Histórico,Jan 22,96681,2456551.17,0.29283961835529304,1,22
280,3295,non-local,Restaurantes,Bonfim,Jan 22,4164,94688.25,0.028679463603115896,1,22
289,3304,non-local,Restaurantes,Campanhã,Jan 22,5277,65337.9,0.04040705687769917,1,22
298,3313,non-local,Restaurantes,Paranhos,Jan 22,5919,103155.95999999999,0.023568058293017977,1,22
307,3322,non-local,Restaurantes,Ramalde,Jan 22,3519,86921.04000000001,0.01946371088175754,1,22
316,3331,non-local,Restaurantes,"União das freguesias de Aldoar, Foz do Douro e Nevogilde",Jan 22,9726,468574.71,0.059703141689072224,1,22
325,3340,non-local,Restaurantes,"União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Jan 22,198540,5521484.58,0.19856879247490886,1,22
334,3349,non-local,Restaurantes,União das freguesias de Lordelo do Ouro e Massarelos,Jan 22,16116,453779.10000000003,0.05091460525068714,1,22
172,2189,non-local,"Bares, Cafés e Similares",ARU/ORU da Corujeira,Fev 22,711,13639.199999999999,0.0861504907306434,2,22
180,2197,non-local,"Bares, Cafés e Similares",ARU/ORU de Campanhã - Estação,Fev 22,345,4859.01,0.019383111410753412,2,22
189,2206,non-local,"Bares, Cafés e Similares",ARU/ORU do Centro Histórico,Fev 22,49611,844894.2,0.42387348131439995,2,22
198,2215,non-local,"Bares, Cafés e Similares",Bonfim,Fev 22,6432,183382.5,0.06982348726633231,2,22
207,2224,non-local,"Bares, Cafés e Similares",Campanhã,Fev 22,198,2042.13,0.006727143002752013,2,22
216,2233,non-local,"Bares, Cafés e Similares",Paranhos,Fev 22,2574,56511.03,0.02969680188287415,2,22
225,2242,non-local,"Bares, Cafés e Similares",Ramalde,Fev 22,279,4679.1900000000005,0.004321963007714471,2,22
233,2250,non-local,"Bares, Cafés e Similares","União das freguesias de Aldoar, Foz do Douro e Nevogilde",Fev 22,13194,373848.3,0.1551596401481743,2,22
240,2257,non-local,"Bares, Cafés e Similares","União das freguesias de Cedofeita, Santo Ildefonso, Sé, Miragaia, São Nicolau e Vitória",Fev 22,197553,3138726.9899999998,0.2628163426578171,2,22
249,2266,non-local,"Bares, Cafés e Similares",União das freguesias de Lordelo do Ouro e Massarelos,Fev 22,4674,62447.4,0.05710097122961334,2,22
261,3276,non-local,Restaurantes,ARU/ORU de Campanhã - Estação,Fev 22,3171,55558.560000000005,0.09674171700530844,2,22
